rowId,0,5,label
1667,2.625160495,2.63335112,1
1689,2.614192847,2.594521022,1
1719,2.683462205,2.640104181,1
1727,2.653445483,2.622096019,1
1764,2.603802443,2.611966428,1
1844,2.6678766,2.633913875,1
1884,2.671917312,2.636164896,1
1943,2.610152134,2.635039386,1
1954,2.635550899,2.642917956,1
1995,2.625160495,2.602399592,1
2012,2.639591612,2.672181219,1
2062,2.611306624,2.650233772,1
2070,2.648827526,2.662614383,1
2113,2.679998738,2.651359282,1
2194,2.602070709,2.633913875,1
2219,2.6678766,2.641229691,1
2258,2.626892229,2.63222561,1
2266,2.643632324,2.683999075,1
2310,2.679421493,2.679497035,1
2360,2.61707907,2.598460307,1
2367,2.585907859,2.62884908,1
2476,2.658640685,2.638415916,1
2589,2.591103061,2.617593979,1
2599,2.68403945,2.640104181,1
2772,2.682884961,2.650233772,1
2784,2.613038357,2.591707246,1
2889,2.661526909,2.680622545,1
2898,2.6678766,2.651359282,1
2926,2.662681398,2.634476631,1
3012,2.629201208,2.653610302,1
3056,2.631510186,2.613091938,1
3167,2.630932942,2.62772357,1
3245,2.667299355,2.62547255,1
3271,2.612461113,2.660363363,1
3301,2.599184486,2.611966428,1
3330,2.680575982,2.67555775,1
3337,2.640168856,2.623784284,1
3340,2.681730472,2.651922037,1
3481,2.604379688,2.62659806,1
3532,2.638437122,2.607464388,1
3608,2.625160495,2.646857242,1
3665,2.671917312,2.671055709,1
3734,2.591680305,2.605776123,1
3776,2.659795175,2.608027143,1
5477,2.625160495,2.63335112,1
5499,2.614192847,2.594521022,1
5529,2.683462205,2.640104181,1
5537,2.653445483,2.622096019,1
5574,2.603802443,2.611966428,1
5654,2.6678766,2.633913875,1
5694,2.671917312,2.636164896,1
5753,2.610152134,2.635039386,1
5764,2.635550899,2.642917956,1
5805,2.625160495,2.602399592,1
5822,2.639591612,2.672181219,1
5872,2.611306624,2.650233772,1
5880,2.648827526,2.662614383,1
5923,2.679998738,2.651359282,1
6004,2.602070709,2.633913875,1
6029,2.6678766,2.641229691,1
6068,2.626892229,2.63222561,1
6076,2.643632324,2.683999075,1
6120,2.679421493,2.679497035,1
6170,2.61707907,2.598460307,1
6177,2.585907859,2.62884908,1
6286,2.658640685,2.638415916,1
6399,2.591103061,2.617593979,1
6409,2.68403945,2.640104181,1
6582,2.682884961,2.650233772,1
6594,2.613038357,2.591707246,1
6699,2.661526909,2.680622545,1
6708,2.6678766,2.651359282,1
6736,2.662681398,2.634476631,1
6822,2.629201208,2.653610302,1
6866,2.631510186,2.613091938,1
6977,2.630932942,2.62772357,1
7055,2.667299355,2.62547255,1
7081,2.612461113,2.660363363,1
7111,2.599184486,2.611966428,1
7140,2.680575982,2.67555775,1
7147,2.640168856,2.623784284,1
7150,2.681730472,2.651922037,1
7291,2.604379688,2.62659806,1
7342,2.638437122,2.607464388,1
7418,2.625160495,2.646857242,1
7475,2.671917312,2.671055709,1
7544,2.591680305,2.605776123,1
7586,2.659795175,2.608027143,1
9287,2.625160495,2.63335112,1
9309,2.614192847,2.594521022,1
9339,2.683462205,2.640104181,1
9347,2.653445483,2.622096019,1
9384,2.603802443,2.611966428,1
9464,2.6678766,2.633913875,1
9504,2.671917312,2.636164896,1
9563,2.610152134,2.635039386,1
9574,2.635550899,2.642917956,1
9615,2.625160495,2.602399592,1
9632,2.639591612,2.672181219,1
9682,2.611306624,2.650233772,1
9690,2.648827526,2.662614383,1
9733,2.679998738,2.651359282,1
9814,2.602070709,2.633913875,1
9839,2.6678766,2.641229691,1
9878,2.626892229,2.63222561,1
9886,2.643632324,2.683999075,1
9930,2.679421493,2.679497035,1
9980,2.61707907,2.598460307,1
9987,2.585907859,2.62884908,1
10096,2.658640685,2.638415916,1
10209,2.591103061,2.617593979,1
10219,2.68403945,2.640104181,1
10392,2.682884961,2.650233772,1
10404,2.613038357,2.591707246,1
10509,2.661526909,2.680622545,1
10518,2.6678766,2.651359282,1
10546,2.662681398,2.634476631,1
10632,2.629201208,2.653610302,1
10676,2.631510186,2.613091938,1
10787,2.630932942,2.62772357,1
10865,2.667299355,2.62547255,1
10891,2.612461113,2.660363363,1
10921,2.599184486,2.611966428,1
10950,2.680575982,2.67555775,1
10957,2.640168856,2.623784284,1
10960,2.681730472,2.651922037,1
11101,2.604379688,2.62659806,1
11152,2.638437122,2.607464388,1
11228,2.625160495,2.646857242,1
11285,2.671917312,2.671055709,1
11354,2.591680305,2.605776123,1
11396,2.659795175,2.608027143,1
13097,2.625160495,2.63335112,1
13119,2.614192847,2.594521022,1
13149,2.683462205,2.640104181,1
13157,2.653445483,2.622096019,1
13194,2.603802443,2.611966428,1
13274,2.6678766,2.633913875,1
13314,2.671917312,2.636164896,1
13373,2.610152134,2.635039386,1
13384,2.635550899,2.642917956,1
13425,2.625160495,2.602399592,1
13442,2.639591612,2.672181219,1
13492,2.611306624,2.650233772,1
13500,2.648827526,2.662614383,1
13543,2.679998738,2.651359282,1
13624,2.602070709,2.633913875,1
13649,2.6678766,2.641229691,1
13688,2.626892229,2.63222561,1
13696,2.643632324,2.683999075,1
13740,2.679421493,2.679497035,1
13790,2.61707907,2.598460307,1
13797,2.585907859,2.62884908,1
13906,2.658640685,2.638415916,1
14019,2.591103061,2.617593979,1
14029,2.68403945,2.640104181,1
14202,2.682884961,2.650233772,1
14214,2.613038357,2.591707246,1
14319,2.661526909,2.680622545,1
14328,2.6678766,2.651359282,1
14356,2.662681398,2.634476631,1
14442,2.629201208,2.653610302,1
14486,2.631510186,2.613091938,1
14597,2.630932942,2.62772357,1
14675,2.667299355,2.62547255,1
14701,2.612461113,2.660363363,1
14731,2.599184486,2.611966428,1
14760,2.680575982,2.67555775,1
14767,2.640168856,2.623784284,1
14770,2.681730472,2.651922037,1
14911,2.604379688,2.62659806,1
14962,2.638437122,2.607464388,1
15038,2.625160495,2.646857242,1
15095,2.671917312,2.671055709,1
15164,2.591680305,2.605776123,1
15206,2.659795175,2.608027143,1
16907,2.625160495,2.63335112,1
16929,2.614192847,2.594521022,1
16959,2.683462205,2.640104181,1
16967,2.653445483,2.622096019,1
17004,2.603802443,2.611966428,1
17084,2.6678766,2.633913875,1
17124,2.671917312,2.636164896,1
17183,2.610152134,2.635039386,1
17194,2.635550899,2.642917956,1
17235,2.625160495,2.602399592,1
17252,2.639591612,2.672181219,1
17302,2.611306624,2.650233772,1
17310,2.648827526,2.662614383,1
17353,2.679998738,2.651359282,1
17434,2.602070709,2.633913875,1
17459,2.6678766,2.641229691,1
17498,2.626892229,2.63222561,1
17506,2.643632324,2.683999075,1
17550,2.679421493,2.679497035,1
17600,2.61707907,2.598460307,1
17607,2.585907859,2.62884908,1
17716,2.658640685,2.638415916,1
17829,2.591103061,2.617593979,1
17839,2.68403945,2.640104181,1
18012,2.682884961,2.650233772,1
18024,2.613038357,2.591707246,1
18129,2.661526909,2.680622545,1
18138,2.6678766,2.651359282,1
18166,2.662681398,2.634476631,1
18252,2.629201208,2.653610302,1
18296,2.631510186,2.613091938,1
18407,2.630932942,2.62772357,1
18485,2.667299355,2.62547255,1
18511,2.612461113,2.660363363,1
18541,2.599184486,2.611966428,1
18570,2.680575982,2.67555775,1
18577,2.640168856,2.623784284,1
18580,2.681730472,2.651922037,1
18721,2.604379688,2.62659806,1
18772,2.638437122,2.607464388,1
18848,2.625160495,2.646857242,1
18905,2.671917312,2.671055709,1
18974,2.591680305,2.605776123,1
19016,2.659795175,2.608027143,1
20717,2.625160495,2.63335112,1
20739,2.614192847,2.594521022,1
20769,2.683462205,2.640104181,1
20777,2.653445483,2.622096019,1
20814,2.603802443,2.611966428,1
20894,2.6678766,2.633913875,1
20934,2.671917312,2.636164896,1
20993,2.610152134,2.635039386,1
21004,2.635550899,2.642917956,1
21045,2.625160495,2.602399592,1
21062,2.639591612,2.672181219,1
